cos_theta_center,cos_theta_det_center,counts,omega
0.1350000000,0.4250000000,25107,0.0005021400
0.1350000000,0.4750000000,28173,0.0005634600
0.1350000000,0.5250000000,33782,0.0006756400
0.1350000000,0.5750000000,51480,0.0010296000
0.1350000000,0.6250000000,32344,0.0006468800
0.1350000000,0.6750000000,20125,0.0004025000
0.1350000000,0.7250000000,26483,0.0005296600
0.1350000000,0.7750000000,57892,0.0011578400
0.1350000000,0.8250000000,0,0.0000000000
0.1350000000,0.8750000000,0,0.0000000000
0.1350000000,0.9250000000,0,0.0000000000
0.1350000000,0.9750000000,0,0.0000000000
0.1450000000,0.0250000000,0,0.0000000000
0.1450000000,0.0750000000,0,0.0000000000
0.1450000000,0.1250000000,0,0.0000000000
0.1450000000,0.1750000000,0,0.0000000000
0.1450000000,0.2250000000,55,0.0000011000
0.1450000000,0.2750000000,4278,0.0000855600
0.1450000000,0.3250000000,14686,0.0002937200
0.1450000000,0.3750000000,21793,0.0004358600
0.1450000000,0.4250000000,25431,0.0005086200
0.1450000000,0.4750000000,28566,0.0005713200
0.1450000000,0.5250000000,34325,0.0006865000
0.1450000000,0.5750000000,60782,0.0012156400
0.1450000000,0.6250000000,17761,0.0003552200
0.1450000000,0.6750000000,19828,0.0003965600
0.1450000000,0.7250000000,25434,0.0005086800
0.1450000000,0.7750000000,50444,0.0010088800
0.1450000000,0.8250000000,10880,0.0002176000
0.1450000000,0.8750000000,0,0.0000000000
0.1450000000,0.9250000000,0,0.0000000000
0.1450000000,0.9750000000,0,0.0000000000
0.1550000000,0.0250000000,0,0.0000000000
0.1550000000,0.0750000000,0,0.0000000000
0.1550000000,0.1250000000,0,0.0000000000
0.1550000000,0.1750000000,0,0.0000000000
0.1550000000,0.2250000000,56,0.0000011200
0.1550000000,0.2750000000,4142,0.0000828400
0.1550000000,0.3250000000,14670,0.0002934000
0.1550000000,0.3750000000,21163,0.0004232600
0.1550000000,0.4250000000,25238,0.0005047600
0.1550000000,0.4750000000,28856,0.0005771200
0.1550000000,0.5250000000,35206,0.0007041200
0.1550000000,0.5750000000,55780,0.0011156000
0.1550000000,0.6250000000,17116,0.0003423200
0.1550000000,0.6750000000,19678,0.0003935600
0.1550000000,0.7250000000,24497,0.0004899400
0.1550000000,0.7750000000,41325,0.0008265000
0.1550000000,0.8250000000,23944,0.0004788800
0.1550000000,0.8750000000,0,0.0000000000
0.1550000000,0.9250000000,0,0.0000000000
0.1550000000,0.9750000000,0,0.0000000000
0.1650000000,0.0250000000,0,0.0000000000
0.1650000000,0.0750000000,0,0.0000000000
0.1650000000,0.1250000000,0,0.0000000000
0.1650000000,0.1750000000,0,0.0000000000
0.1650000000,0.2250000000,116,0.0000023200
0.1650000000,0.2750000000,4318,0.0000863600
0.1650000000,0.3250000000,14507,0.0002901400
0.1650000000,0.3750000000,21276,0.0004255200
0.1650000000,0.4250000000,25041,0.0005008200
0.1650000000,0.4750000000,28562,0.0005712400
0.1650000000,0.5250000000,36163,0.0007232600
0.1650000000,0.5750000000,50688,0.0010137600
0.1650000000,0.6250000000,16705,0.0003341000
0.1650000000,0.6750000000,18936,0.0003787200
0.1650000000,0.7250000000,23597,0.0004719400
0.1650000000,0.7750000000,36860,0.0007372000
0.1650000000,0.8250000000,32113,0.0006422600
