cos_theta_center,cos_theta_det_center,counts,omega
0.2450000000,0.2750000000,12150,0.0002430000
0.2450000000,0.3250000000,21190,0.0004238000
0.2450000000,0.3750000000,27264,0.0005452800
0.2450000000,0.4250000000,32736,0.0006547200
0.2450000000,0.4750000000,47442,0.0009488400
0.2450000000,0.5250000000,40803,0.0008160600
0.2450000000,0.5750000000,14161,0.0002832200
0.2450000000,0.6250000000,15408,0.0003081600
0.2450000000,0.6750000000,16981,0.0003396200
0.2450000000,0.7250000000,19814,0.0003962800
0.2450000000,0.7750000000,24431,0.0004886200
0.2450000000,0.8250000000,40973,0.0008194600
0.2450000000,0.8750000000,25398,0.0005079600
0.2450000000,0.9250000000,0,0.0000000000
0.2450000000,0.9750000000,0,0.0000000000
0.2550000000,0.0250000000,0,0.0000000000
0.2550000000,0.0750000000,0,0.0000000000
0.2550000000,0.1250000000,0,0.0000000000
0.2550000000,0.1750000000,0,0.0000000000
0.2550000000,0.2250000000,1834,0.0000366800
0.2550000000,0.2750000000,11910,0.0002382000
0.2550000000,0.3250000000,21229,0.0004245800
0.2550000000,0.3750000000,27362,0.0005472400
0.2550000000,0.4250000000,33592,0.0006718400
0.2550000000,0.4750000000,56099,0.0011219800
0.2550000000,0.5250000000,26285,0.0005257000
0.2550000000,0.5750000000,14426,0.0002885200
0.2550000000,0.6250000000,15697,0.0003139400
0.2550000000,0.6750000000,17019,0.0003403800
0.2550000000,0.7250000000,19652,0.0003930400
0.2550000000,0.7750000000,23983,0.0004796600
0.2550000000,0.8250000000,37243,0.0007448600
0.2550000000,0.8750000000,32149,0.0006429800
0.2550000000,0.9250000000,0,0.0000000000
0.2550000000,0.9750000000,0,0.0000000000
0.2650000000,0.0250000000,0,0.0000000000
0.2650000000,0.0750000000,0,0.0000000000
0.2650000000,0.1250000000,0,0.0000000000
0.2650000000,0.1750000000,0,0.0000000000
0.2650000000,0.2250000000,1783,0.0000356600
0.2650000000,0.2750000000,11800,0.0002360000
0.2650000000,0.3250000000,20939,0.0004187800
